Make,Type,Year,Color,Options,Engine_Size,Fuel_Type,Gear_Type,Mileage,Price
Chrysler,C300,2018,Black,Full,5.7,Gas,Automatic,103000,114000.0
Nissan,Sunny,2019,Silver,Standard,1.5,Gas,Automatic,72418,27500.0
Hyundai,Elantra,2019,Grey,Standard,1.6,Gas,Automatic,114154,43000.0
Hyundai,Elantra,2019,Silver,Semi Full,2.0,Gas,Automatic,41912,59500.0
Honda,Accord,2018,Navy,Full,1.5,Gas,Automatic,39000,72000.0
Toyota,Land Cruiser,2011,White,Semi Full,4.5,Gas,Automatic,183000,92000.0
Chevrolet,Impala,2019,Black,Standard,3.6,Gas,Automatic,70000,80000.0
Toyota,Yaris,2018,White,Standard,1.5,Gas,Automatic,131000,32000.0
Toyota,Camry,2017,White,Standard,2.5,Gas,Automatic,107000,50000.0
Nissan,Patrol,2014,White,Full,5.6,Gas,Automatic,106000,135000.0
Chevrolet,Tahoe,2018,Grey,Semi Full,5.3,Gas,Automatic,176140,153000.0
Mercedes-Benz,CLA,2020,White,Standard,,Gas,Automatic,20000,235000.0
Mercedes-Benz,E,2017,Grey,Full,2.0,Gas,Automatic,20600,210000.0
Hyundai,Accent,2019,White,Standard,1.4,Gas,Automatic,83000,37000.0
Toyota,Corolla,2018,White,Standard,1.6,Gas,Automatic,7702,45000.0
MINI,Copper,2016,Grey,Full,2.0,Gas,Automatic,110000,83000.0
Nissan,Sunny,2017,White,Standard,1.5,Gas,Automatic,58000,24500.0
Nissan,Patrol,2016,White,Standard,4.8,Gas,Automatic,93000,83000.0
Toyota,Prado,2021,White,Semi Full,4.0,Gas,Automatic,3000,174000.0
Hyundai,Elantra,2018,White,Standard,1.6,Diesel,Automatic,83000,50000.0
Honda,Civic,2017,Black,Standard,1.5,Gas,Automatic,200000,38000.0
Toyota,Furniture,2021,White,Semi Full,2.4,Diesel,Automatic,29000,145000.0
Lexus,RX,2019,Bronze,Full,3.5,Gas,Automatic,129000,178000.0
Land Rover,Range Rover,2014,Black,Full,3.0,Gas,Automatic,80000,230000.0
GMC,Yukon,2017,Silver,Standard,5.3,Gas,Automatic,137317,130000.0
Nissan,Urvan,2020,White,Standard,3.5,Gas,Manual,27000,68000.0
Toyota,Aurion,2015,White,Semi Full,2.6,Gas,Automatic,300,50000.0
Nissan,Sunny,2019,White,Standard,1.5,Gas,Automatic,112963,27500.0
Hyundai,Elantra,2019,Silver,Standard,1.6,Gas,Automatic,108650,43000.0
Chevrolet,Malibu,2013,Black,Semi Full,3.0,Gas,Automatic,122455,36000.0
Nissan,Sunny,2019,Silver,Standard,1.5,Gas,Automatic,93762,26800.0
Toyota,Rav4,2020,White,Full,2.5,Gas,Automatic,15000,111000.0
Mazda,CX9,2019,Another Color,Full,2.5,Gas,Automatic,89000,99000.0
Ford,Expedition,2013,Black,Standard,5.4,Gas,Automatic,348000,50000.0
GMC,Yukon,2008,Golden,Full,5.3,Gas,Automatic,286000,48000.0
Toyota,Camry,2020,Silver,Standard,2.5,Hybrid,Automatic,46000,75000.0
Lexus,ES,2015,White,Full,3.5,Gas,Automatic,85000,80000.0
Toyota,Land Cruiser,1993,Bronze,Semi Full,,Gas,Manual,400,12000.0
Kia,Cadenza,2017,Another Color,Standard,3.5,Gas,Automatic,115000,55000.0
Hyundai,Tucson,2016,White,Semi Full,2.0,Gas,Automatic,157000,50000.0
Hyundai,Tucson,2019,Silver,Semi Full,2.0,Gas,Automatic,24000,68000.0
Genesis,Platinum,2015,Another Color,Semi Full,3.5,Gas,Automatic,181000,70000.0
Genesis,G80,2019,White,Semi Full,3.8,Gas,Automatic,84000,120000.0
Toyota,Prado,2016,White,Semi Full,4.0,Gas,Automatic,201000,108000.0
GMC,Yukon,2009,Golden,Standard,5.3,Gas,Automatic,395000,43000.0
Toyota,Rav4,2016,White,Full,2.5,Gas,Automatic,363000,58000.0
Hyundai,Accent,2020,Another Color,Standard,1.4,Gas,Automatic,2000,42000.0
Lexus,ES,2013,Black,Full,3.5,Gas,Automatic,349000,70000.0
Hyundai,Sonata,2019,Grey,Semi Full,2.4,Gas,Automatic,78000,62000.0
Genesis,G80,2018,Another Color,Semi Full,3.8,Gas,Automatic,75000,110000.0
Honda,Accord,2016,Another Color,Full,3.5,Gas,Automatic,350000,50000.0
Genesis,G80,2018,Another Color,Semi Full,3.8,Gas,Automatic,127000,93000.0
Lexus,LX,2015,White,Full,5.7,Gas,Automatic,247000,165000.0
